"state","statesymbol","year","population","income"
"Alabama","AL","2014","4887659","$37,047.50 "
"Arizona","AZ","2014","6639908.5","$38,745.00 "
"Arkansas","AR","2014","2962086.25","$38,737.00 "
"California","CA","2014","38642380.75","$51,255.75 "
"Colorado","CO","2014","5346358","$50,761.75 "
"Connecticut","CT","2014","3614519.25","$65,501.50 "
"Delaware","DE","2014","935360","$46,004.00 "
"Florida","FL","2014","19808499","$43,483.50 "
"Georgia","GA","2014","10081527.75","$39,951.50 "
"Hawaii","HI","2014","1434644.5","$46,028.50 "
"Idaho","ID","2014","1640479.5","$37,670.50 "
"Illinois","IL","2014","12970954.5","$49,236.00 "
"Indiana","IN","2014","6609656.25","$41,188.50 "
"Iowa","IA","2014","3121531.5","$44,698.50 "
"Kansas","KS","2014","2912194","$47,001.25 "
"Kentucky","KY","2014","4429640.75","$37,636.25 "
"Louisiana","LA","2014","4649845","$43,074.75 "
"Maine","ME","2014","1336176.5","$41,808.25 "
"Maryland","MD","2014","6009397","$53,654.25 "
"Massachusetts","MA","2014","6818468","$58,930.25 "
"Michigan","MI","2014","9974675","$41,205.75 "
"Minnesota","MN","2014","5473398.5","$49,965.00 "
"Mississippi","MS","2014","2987750.5","$34,894.50 "
"Missouri","MO","2014","6061561","$41,955.00 "
"Montana","MT","2014","1025247.75","$42,481.50 "
"Nebraska","NE","2014","1889984","$48,953.50 "
"Nevada","NV","2014","2811304.75","$41,746.50 "
"New Hampshire","NH","2014","9034972.5","$57,056.50 "
"New Jersey","NJ","2014","2095890.75","$37,203.75 "
"New Mexico","NM","2014","20003370.25","$55,285.00 "
"New York","NY","2014","9883240","$40,279.00 "
"North Carolina","NC","2014","744670.25","$57,498.00 "
"North Dakota","ND","2014","11649220.5","$42,826.00 "
"Ohio","OH","2014","3873107.75","$46,594.50 "
"Oklahoma","OK","2014","3967635.75","$42,107.25 "
"Oregon","OR","2014","12881129.5","$48,060.25 "
"Pennsylvania","PA","2014","1073171.75","$47,192.00 "
"Rhode Island","RI","2014","4794305.5","$38,133.25 "
"South Carolina","SC","2014","847545.25","$47,492.00 "
"South Dakota","SD","2014","6560285.75","$40,742.50 "
"Tennessee","TN","2014","26915747.25","$47,353.50 "
"Texas","TX","2014","2951764","$38,151.25 "
"Utah","UT","2014","634055.5","$47,622.50 "
"Vermont","VT","2014","8334087.75","$50,313.75 "
"Virginia","VA","2014","7071610","$50,860.25 "
"Washington","WA","2014","1852971.75","$36,571.00 "
"West Virginia","WV","2014","5778657.25","$44,706.75 "
"Wisconsin","WI","2014","581377.75","$57,706.00 "
"Wyoming","WY","2014","14815350.25","$57,087.50 "
"Alabama","AL","2015","4909074","$38,523.25 "
"Arizona","AZ","2015","6717028.5","$40,317.00 "
"Arkansas","AR","2015","2970927.5","$39,959.75 "
"California","CA","2015","38963797.75","$54,547.50 "
"Colorado","CO","2015","5441368","$52,346.25 "
"Connecticut","CT","2015","3612345.5","$67,315.00 "
"Delaware","DE","2015","944640.5","$47,865.25 "
"Florida","FL","2015","20155357.5","$45,635.75 "
"Georgia","GA","2015","10194489.5","$41,927.25 "
"Hawaii","HI","2015","1446480.5","$47,776.50 "
"Idaho","ID","2015","1664068","$39,346.50 "
"Illinois","IL","2015","12965174.25","$51,441.25 "
"Indiana","IN","2015","6630744.5","$42,652.75 "
"Iowa","IA","2015","3136367.5","$46,100.00 "
"Kansas","KS","2015","2922242","$47,339.50 "
"Kentucky","KY","2015","4443992","$39,228.25 "
"Louisiana","LA","2015","4670423.25","$43,114.50 "
"Maine","ME","2015","1336511.75","$43,644.00 "
"Maryland","MD","2015","6049037","$55,826.75 "
"Massachusetts","MA","2015","6865839.75","$62,369.50 "
"Michigan","MI","2015","9990744.5","$43,408.75 "
"Minnesota","MN","2015","5511620.25","$51,966.50 "
"Mississippi","MS","2015","2985676.75","$35,524.25 "
"Missouri","MO","2015","6077841","$43,316.25 "
"Montana","MT","2015","1034791.5","$43,925.50 "
"Nebraska","NE","2015","1904998","$50,541.75 "
"Nevada","NV","2015","2857690.5","$44,480.75 "
"New Hampshire","NH","2015","9078209.5","$59,163.75 "
"New Jersey","NJ","2015","2096800.75","$38,088.50 "
"New Mexico","NM","2015","20089193.75","$57,479.50 "
"New York","NY","2015","9970568","$42,056.25 "
"North Carolina","NC","2015","760730.75","$54,134.00 "
"North Dakota","ND","2015","11676046","$44,435.00 "
"Ohio","OH","2015","3899914.25","$44,907.50 "
"Oklahoma","OK","2015","4021772","$44,655.25 "
"Oregon","OR","2015","12900853","$49,918.00 "
"Pennsylvania","PA","2015","1077563.75","$48,672.25 "
"Rhode Island","RI","2015","4853192.5","$40,047.50 "
"South Carolina","SC","2015","852751.5","$49,149.00 "
"South Dakota","SD","2015","6614467.75","$42,524.00 "
"Tennessee","TN","2015","27395991.25","$47,472.50 "
"Texas","TX","2015","3001299.25","$40,427.00 "
"Utah","UT","2015","635745","$48,885.75 "
"Vermont","VT","2015","8390821","$52,231.50 "
"Virginia","VA","2015","7184313.25","$53,052.50 "
"Washington","WA","2015","1846126.5","$37,472.25 "
"West Virginia","WV","2015","5795115.75","$46,539.75 "
"Wisconsin","WI","2015","583171.25","$57,893.50 "
"Wyoming","WY","2015","14872170.5","$59,622.75 "
"Alabama","AL","2016","4931224.75","$39,009.25 "
"Arizona","AZ","2016","6801761.5","$41,471.25 "
"Arkansas","AR","2016","2981013.5","$40,867.00 "
"California","CA","2016","39222767.5","$56,559.50 "
"Colorado","CO","2016","5527833","$52,400.50 "
"Connecticut","CT","2016","3608757.25","$68,660.00 "
"Delaware","DE","2016","953198.25","$48,724.00 "
"Florida","FL","2016","20535153.5","$46,457.75 "
"Georgia","GA","2016","10317447.25","$43,035.00 "
"Hawaii","HI","2016","1456062.75","$49,153.75 "
"Idaho","ID","2016","1696837.25","$40,078.75 "
"Illinois","IL","2016","12948085.25","$52,030.50 "
"Indiana","IN","2016","6658846","$43,641.25 "
"Iowa","IA","2016","3149817.25","$46,285.00 "
"Kansas","KS","2016","2927071","$47,328.50 "
"Kentucky","KY","2016","4458600","$39,741.00 "
"Louisiana","LA","2016","4683488.5","$42,744.00 "
"Maine","ME","2016","1340384","$44,732.75 "
"Maryland","MD","2016","6080955.5","$57,619.00 "
"Massachusetts","MA","2016","6910148.5","$64,278.75 "
"Michigan","MI","2016","10018729.75","$44,519.50 "
"Minnesota","MN","2016","5557173.25","$52,586.00 "
"Mississippi","MS","2016","2984694","$36,017.25 "
"Missouri","MO","2016","6094644","$44,400.00 "
"Montana","MT","2016","1045929.25","$44,049.25 "
"Nebraska","NE","2016","1921109.75","$49,366.75 "
"Nevada","NV","2016","2906278.25","$45,436.50 "
"New Hampshire","NH","2016","9122873.5","$60,512.25 "
"New Jersey","NJ","2016","2099819","$38,771.75 "
"New Mexico","NM","2016","20151409.5","$59,277.75 "
"New York","NY","2016","10076108.5","$42,935.00 "
"North Carolina","NC","2016","764727.5","$51,999.75 "
"North Dakota","ND","2016","11704463","$45,202.25 "
"Ohio","OH","2016","3915833","$42,532.00 "
"Oklahoma","OK","2016","4091178.25","$46,020.75 "
"Oregon","OR","2016","12921103","$51,168.75 "
"Pennsylvania","PA","2016","1082104.75","$49,190.50 "
"Rhode Island","RI","2016","4911139.25","$41,173.75 "
"South Carolina","SC","2016","860891","$49,177.00 "
"South Dakota","SD","2016","6674171","$43,486.00 "
"Tennessee","TN","2016","27825771.75","$46,591.50 "
"Texas","TX","2016","3063138.5","$41,746.50 "
"Utah","UT","2016","636690.75","$49,593.25 "
"Vermont","VT","2016","8446134","$53,257.75 "
"Virginia","VA","2016","7316298.75","$54,912.25 "
"Washington","WA","2016","1835877.5","$37,383.25 "
"West Virginia","WV","2016","5813779.5","$47,193.50 "
"Wisconsin","WI","2016","581544.25","$54,868.50 "
"Wyoming","WY","2016","14929356","$61,142.00 "
"Alabama","AL","2017","4953310.75","$40,242.75 "
"Arizona","AZ","2017","6882702","$43,281.50 "
"Arkansas","AR","2017","2990777.5","$42,055.50 "
"California","CA","2017","39420180.25","$58,818.00 "
"Colorado","CO","2017","5601622.75","$55,276.50 "
"Connecticut","CT","2017","3608668.5","$70,142.25 "
"Delaware","DE","2017","961826.25","$50,497.00 "
"Florida","FL","2017","20867602.5","$49,026.75 "
"Georgia","GA","2017","10429151.25","$44,991.50 "
"Hawaii","HI","2017","1458688.25","$51,043.25 "
"Idaho","ID","2017","1733843","$41,561.25 "
"Illinois","IL","2017","12924839","$53,643.75 "
"Indiana","IN","2017","6688248.5","$45,100.00 "
"Iowa","IA","2017","3162489.25","$47,287.75 "
"Kansas","KS","2017","2928316.75","$48,741.00 "
"Kentucky","KY","2017","4475391.75","$40,772.75 "
"Louisiana","LA","2017","4679099.75","$44,069.25 "
"Maine","ME","2017","1345166","$46,409.00 "
"Maryland","MD","2017","6112970.5","$59,180.75 "
"Massachusetts","MA","2017","6957472.25","$66,632.00 "
"Michigan","MI","2017","10049794.75","$45,648.25 "
"Minnesota","MN","2017","5605523.25","$54,315.00 "
"Mississippi","MS","2017","2982874","$36,913.25 "
"Missouri","MO","2017","6113821","$45,374.50 "
"Montana","MT","2017","1057663.75","$46,114.25 "
"Nebraska","NE","2017","1934366.25","$50,202.50 "
"Nevada","NV","2017","2956924.25","$47,519.25 "
"New Hampshire","NH","2017","9175177.25","$62,393.50 "
"New Jersey","NJ","2017","2101618","$39,426.75 "
"New Mexico","NM","2017","20193181.5","$63,036.00 "
"New York","NY","2017","10176949","$44,520.50 "
"North Carolina","NC","2017","767088","$52,426.25 "
"North Dakota","ND","2017","11737968.5","$46,708.75 "
"Ohio","OH","2017","3921594.75","$44,430.50 "
"Oklahoma","OK","2017","4145586","$47,999.75 "
"Oregon","OR","2017","12948474.5","$52,486.00 "
"Pennsylvania","PA","2017","1085588.75","$50,940.25 "
"Rhode Island","RI","2017","4966625","$42,810.00 "
"South Carolina","SC","2017","869731","$50,375.25 "
"South Dakota","SD","2017","6740351.25","$44,961.25 "
"Tennessee","TN","2017","28191474.75","$49,226.00 "
"Texas","TX","2017","3125083.5","$43,406.50 "
"Utah","UT","2017","638995.25","$50,714.00 "
"Vermont","VT","2017","8502072","$54,978.50 "
"Virginia","VA","2017","7444189.25","$57,260.75 "
"Washington","WA","2017","1823156.25","$39,162.00 "
"West Virginia","WV","2017","5836965.5","$48,736.25 "
"Wisconsin","WI","2017","576853.75","$57,066.75 "
"Wyoming","WY","2017","14994783.25","$63,104.00 "
"Alabama","AL","2018","4977409.25","$41,598.50 "
"Arizona","AZ","2018","6972503.75","$45,280.75 "
"Arkansas","AR","2018","2997696.75","$43,655.00 "
"California","CA","2018","39529784.5","$61,518.50 "
"Colorado","CO","2018","5675522","$58,486.00 "
"Connecticut","CT","2018","3610835","$73,186.00 "
"Delaware","DE","2018","971322.5","$52,823.50 "
"Florida","FL","2018","21132758.75","$51,443.50 "
"Georgia","GA","2018","10534558.25","$46,813.75 "
"Hawaii","HI","2018","1459814","$52,187.50 "
"Idaho","ID","2018","1769428.75","$43,334.25 "
"Illinois","IL","2018","12890013.75","$56,506.75 "
"Indiana","IN","2018","6725893.5","$47,098.25 "
"Iowa","IA","2018","3172217.75","$49,199.25 "
"Kansas","KS","2018","2931648","$50,809.25 "
"Kentucky","KY","2018","4487537.5","$41,974.25 "
"Louisiana","LA","2018","4670995.25","$46,052.75 "
"Maine","ME","2018","1350846","$48,207.50 "
"Maryland","MD","2018","6139536.5","$60,622.50 "
"Massachusetts","MA","2018","6993131","$69,525.25 "
"Michigan","MI","2018","10070165.5","$47,315.50 "
"Minnesota","MN","2018","5649664.25","$56,571.50 "
"Mississippi","MS","2018","2975386.25","$37,917.25 "
"Missouri","MO","2018","6129245.75","$47,224.50 "
"Montana","MT","2018","1066714","$47,799.25 "
"Nebraska","NE","2018","1945389","$52,021.25 "
"Nevada","NV","2018","3012273.25","$49,723.50 "
"New Hampshire","NH","2018","9219779.25","$64,751.75 "
"New Jersey","NJ","2018","2104180","$41,123.50 "
"New Mexico","NM","2018","20221715.5","$65,100.00 "
"New York","NY","2018","10276379.25","$46,268.00 "
"North Carolina","NC","2018","771514","$55,501.50 "
"North Dakota","ND","2018","11764261","$48,431.50 "
"Ohio","OH","2018","3929909","$46,457.00 "
"Oklahoma","OK","2018","4183478.5","$50,534.25 "
"Oregon","OR","2018","12979508","$55,189.25 "
"Pennsylvania","PA","2018","1091378.5","$52,567.50 "
"Rhode Island","RI","2018","5021930.25","$44,317.00 "
"South Carolina","SC","2018","875655.75","$52,566.75 "
"South Dakota","SD","2018","6805853.25","$47,009.75 "
"Tennessee","TN","2018","28518359","$52,003.75 "
"Texas","TX","2018","3180660.5","$46,002.00 "
"Utah","UT","2018","640674.75","$52,190.00 "
"Vermont","VT","2018","8548738.75","$56,725.25 "
"Virginia","VA","2018","7547933.5","$60,180.50 "
"Washington","WA","2018","1811042.25","$41,291.00 "
"West Virginia","WV","2018","5859237.75","$50,813.00 "
"Wisconsin","WI","2018","575109.5","$60,320.50 "
"Wyoming","WY","2018","15052001","$65,742.00 "
"Alabama","AL","2019","5004337.5","$43,148.25 "
"Arizona","AZ","2019","7072762.75","$47,225.25 "
"Arkansas","AR","2019","3005050.25","$45,024.75 "
"California","CA","2019","39551101.5","$64,327.75 "
"Colorado","CO","2019","5735601","$61,089.25 "
"Connecticut","CT","2019","3608095","$74,910.00 "
"Delaware","DE","2019","981652.5","$53,519.00 "
"Florida","FL","2019","21362154.25","$53,355.25 "
"Georgia","GA","2019","10642116.75","$48,699.75 "
"Hawaii","HI","2019","1457398.25","$53,874.00 "
"Idaho","ID","2019","1808528","$45,246.75 "
"Illinois","IL","2019","12850685.25","$58,270.50 "
"Indiana","IN","2019","6762080","$48,754.00 "
"Iowa","IA","2019","3183843.75","$50,148.00 "
"Kansas","KS","2019","2934593.75","$52,804.50 "
"Kentucky","KY","2019","4498634.25","$43,624.00 "
"Louisiana","LA","2019","4664806.75","$47,603.25 "
"Maine","ME","2019","1357653.75","$49,979.50 "
"Maryland","MD","2019","6163827.25","$61,876.25 "
"Massachusetts","MA","2019","7017022.5","$72,197.75 "
"Michigan","MI","2019","10078697.25","$48,818.00 "
"Minnesota","MN","2019","5686216.25","$57,951.00 "
"Mississippi","MS","2019","2968878","$39,185.50 "
"Missouri","MO","2019","6144368","$48,913.75 "
"Montana","MT","2019","1075983","$49,825.25 "
"Nebraska","NE","2019","1955100","$53,413.25 "
"Nevada","NV","2019","3068213.75","$51,795.25 "
"New Hampshire","NH","2019","9260409.5","$66,850.50 "
"New Jersey","NJ","2019","2110910.25","$42,890.50 "
"New Mexico","NM","2019","20222365","$67,325.00 "
"New York","NY","2019","10371813.75","$48,254.75 "
"North Carolina","NC","2019","776402.5","$57,212.00 "
"North Dakota","ND","2019","11788948.75","$49,807.25 "
"Ohio","OH","2019","3945083","$48,507.50 "
"Oklahoma","OK","2019","4216116.25","$52,461.00 "
"Oregon","OR","2019","12994274.25","$56,729.50 "
"Pennsylvania","PA","2019","1094828.5","$54,719.50 "
"Rhode Island","RI","2019","5078185.75","$46,165.75 "
"South Carolina","SC","2019","882420.5","$55,015.50 "
"South Dakota","SD","2019","6864435.5","$48,765.50 "
"Tennessee","TN","2019","28866193","$53,487.75 "
"Texas","TX","2019","3232970.25","$48,664.00 "
"Utah","UT","2019","641996","$53,846.75 "
"Vermont","VT","2019","8597977.5","$58,455.00 "
"Virginia","VA","2019","7639563.5","$62,808.25 "
"Washington","WA","2019","1800870.5","$42,368.25 "
"West Virginia","WV","2019","5880587.5","$52,413.75 "
"Wisconsin","WI","2019","575605.5","$61,543.00 "
"Wyoming","WY","2019","15091709.5","$67,986.00 "
"Alabama","AL","2020","5026219.25","$45,511.00 "
"Arizona","AZ","2020","7177976.5","$51,329.75 "
"Arkansas","AR","2020","3013717.75","$47,499.25 "
"California","CA","2020","39486492.25","$69,982.75 "
"Colorado","CO","2020","5782777","$64,050.25 "
"Connecticut","CT","2020","3603587","$77,593.50 "
"Delaware","DE","2020","992389.25","$55,782.00 "
"Florida","FL","2020","21580331.5","$56,069.00 "
"Georgia","GA","2020","10728033.75","$51,692.50 "
"Hawaii","HI","2020","1452138","$56,831.25 "
"Idaho","ID","2020","1850060.75","$48,146.75 "
"Illinois","IL","2020","12784277.25","$61,963.25 "
"Indiana","IN","2020","6787818.25","$51,674.75 "
"Iowa","IA","2020","3189953","$53,035.75 "
"Kansas","KS","2020","2936626.5","$55,663.50 "
"Kentucky","KY","2020","4505441","$47,042.75 "
"Louisiana","LA","2020","4651065.75","$50,811.25 "
"Maine","ME","2020","1363526.5","$53,679.00 "
"Maryland","MD","2020","6173633.25","$65,524.00 "
"Massachusetts","MA","2020","7020650.5","$77,038.25 "
"Michigan","MI","2020","10070375","$52,710.50 "
"Minnesota","MN","2020","5706694","$61,468.75 "
"Mississippi","MS","2020","2958337.75","$42,250.00 "
"Missouri","MO","2020","6156546.5","$51,655.75 "
"Montana","MT","2020","1087488.5","$53,020.50 "
"Nebraska","NE","2020","1961685.5","$56,861.50 "
"Nevada","NV","2020","3113147.25","$54,154.25 "
"New Hampshire","NH","2020","9281520.75","$70,301.00 "
"New Jersey","NJ","2020","2117354.75","$46,097.00 "
"New Mexico","NM","2020","20135790","$71,517.25 "
"New York","NY","2020","10460612.5","$50,978.75 "
"North Carolina","NC","2020","778476.5","$60,488.75 "
"North Dakota","ND","2020","11793444.25","$53,185.25 "
"Ohio","OH","2020","3963894","$50,090.75 "
"Oklahoma","OK","2020","4240124.75","$56,329.25 "
"Oregon","OR","2020","12992543.75","$60,706.50 "
"Pennsylvania","PA","2020","1096609.5","$58,635.25 "
"Rhode Island","RI","2020","5132576.25","$48,820.50 "
"South Carolina","SC","2020","887895.5","$59,600.75 "
"South Dakota","SD","2020","6922195","$50,785.25 "
"Tennessee","TN","2020","29220371","$55,393.50 "
"Texas","TX","2020","3283526","$51,667.00 "
"Utah","UT","2020","643126.25","$57,367.75 "
"Vermont","VT","2020","8632597.5","$61,656.50 "
"Virginia","VA","2020","7714198.75","$66,945.75 "
"Washington","WA","2020","1790901.25","$44,840.00 "
"West Virginia","WV","2020","5893362.25","$55,019.75 "
"Wisconsin","WI","2020","577299.25","$62,394.00 "
"Wyoming","WY","2020","15106532","$71,924.75 "
"Alabama","AL","2021","5041117.25","$48,597.00 "
"Arizona","AZ","2021","7278162.75","$54,291.25 "
"Arkansas","AR","2021","3026614.75","$51,137.25 "
"California","CA","2021","39246401.25","$76,368.00 "
"Colorado","CO","2021","5812871","$69,006.25 "
"Connecticut","CT","2021","3606291.25","$82,066.50 "
"Delaware","DE","2021","1003677","$58,988.50 "
"Florida","FL","2021","21787976.75","$60,743.50 "
"Georgia","GA","2021","10801634.25","$55,281.00 "
"Hawaii","HI","2021","1441939.75","$60,371.25 "
"Idaho","ID","2021","1901376.75","$51,377.00 "
"Illinois","IL","2021","12674010.5","$67,079.75 "
"Indiana","IN","2021","6807224","$56,144.50 "
"Iowa","IA","2021","3193665.75","$56,963.50 "
"Kansas","KS","2021","2935130.75","$59,312.75 "
"Kentucky","KY","2021","4510298","$50,689.00 "
"Louisiana","LA","2021","4626471.5","$54,405.00 "
"Maine","ME","2021","1372551","$57,149.25 "
"Maryland","MD","2021","6166366","$69,251.75 "
"Massachusetts","MA","2021","6986023.5","$82,458.75 "
"Michigan","MI","2021","10052812.75","$55,539.25 "
"Minnesota","MN","2021","5708197.25","$65,477.00 "
"Mississippi","MS","2021","2950723.75","$45,425.50 "
"Missouri","MO","2021","6169450","$55,149.00 "
"Montana","MT","2021","1104537.5","$56,665.25 "
"Nebraska","NE","2021","1963998.75","$62,085.50 "
"Nevada","NV","2021","3144656.25","$58,223.00 "
"New Hampshire","NH","2021","9268918.25","$74,789.75 "
"New Jersey","NJ","2021","2116473.25","$49,306.25 "
"New Mexico","NM","2021","19841612.25","$76,388.00 "
"New York","NY","2021","10553525.5","$55,033.00 "
"North Carolina","NC","2021","775104.75","$65,529.50 "
"North Dakota","ND","2021","11782448.25","$56,471.75 "
"Ohio","OH","2021","3987574","$53,145.25 "
"Oklahoma","OK","2021","4246974.5","$60,665.00 "
"Oregon","OR","2021","12966957","$64,039.25 "
"Pennsylvania","PA","2021","1095823.5","$61,930.25 "
"Rhode Island","RI","2021","5192117.25","$52,063.75 "
"South Carolina","SC","2021","895532","$64,712.50 "
"South Dakota","SD","2021","6976781.75","$54,862.50 "
"Tennessee","TN","2021","29533960","$59,663.75 "
"Texas","TX","2021","3338353.25","$55,390.00 "
"Utah","UT","2021","645692.75","$59,694.75 "
"Vermont","VT","2021","8643889.5","$65,396.25 "
"Virginia","VA","2021","7739898.75","$71,878.50 "
"Washington","WA","2021","1783434.5","$47,803.25 "
"West Virginia","WV","2021","5896893.5","$58,554.25 "
"Wisconsin","WI","2021","578903","$65,617.00 "
"Wyoming","WY","2021","15095617","$76,636.50 "
